id,pm10,lat,long,wojewodztwo,kod_pocztowy,gmina
2151,55.01549125356581,53.127638999999995,18.004215,kujawsko-pomorskie,85-006,Bydgoszcz
2153,52.6288600797971,49.624893,20.690020999999998,małopolskie,33-300,Nowy Sącz
2154,55.39703286746803,52.189181999999995,21.055495999999998,mazowieckie,02-943,Warszawa
2155,48.22511039073129,53.770098999999995,20.509603,warmińsko-mazurskie,10-457,Olsztyn
2156,51.629549070378985,51.761610999999995,19.492238,łódzkie,92-328,Łódź
2157,51.91801016952654,50.032149999999994,22.066209,podkarpackie,35-614,Rzeszów
2158,59.136403595713574,50.193084,19.853015,małopolskie,32-077,gmina Skała
2159,48.13843305160148,53.025009,18.625747,kujawsko-pomorskie,87-100,Toruń
2161,66.13580476735612,49.833121999999996,19.939913999999998,małopolskie,32-400,gmina Myślenice
2162,47.005174530950555,53.024211,18.607978,kujawsko-pomorskie,87-100,Toruń
2163,71.35964254196763,49.877261999999995,19.140722,śląskie,43-332,gmina Wilamowice
2164,46.233568752739295,53.789451,20.481748,warmińsko-mazurskie,10-225,Olsztyn
2165,91.18915237298606,51.541007,20.034574,łódzkie,97-200,Tomaszów Mazowiecki
2166,70.740703125,52.405021,16.864891,wielkopolskie,60-320,Poznań
2167,46.469516674626725,51.208904,16.164393999999998,dolnośląskie,59-220,Legnica
2168,33.645151540484186,53.17921,22.082603,podlaskie,18-400,Łomża
2169,41.37508436858682,50.672194999999995,17.950639,opolskie,45-301,Opole
2170,57.47023794888384,50.03527,20.611729,małopolskie,32-800,gmina Brzesko
2171,57.72808707411594,50.46622,17.343055,opolskie,48-303,gmina Nysa
2173,68.86455517205806,51.763492,20.25229,łódzkie,96-200,Rawa Mazowiecka
2174,74.72924654300206,50.143862999999996,18.540533,śląskie,44-207,Rybnik
2175,40.81313717049319,49.783977,19.629644,małopolskie,34-210,gmina Zembrzyce
2177,47.14783729067493,50.902496,15.743089,dolnośląskie,58-500,Jelenia Góra
2178,58.8638154590348,50.576301,19.330116,śląskie,42-300,Myszków
2179,37.946389727649574,53.697466999999996,19.96363,warmińsko-mazurskie,14-100,Ostróda
2181,69.70463762272588,49.778479999999995,19.561935,małopolskie,34-210,gmina Zembrzyce
2182,96.6932158070573,51.540084,20.0032,łódzkie,97-200,Tomaszów Mazowiecki
2183,59.69488682050143,49.783359,19.527032,małopolskie,34-106,gmina Zembrzyce
2185,73.38105716273856,50.07228,19.895887,małopolskie,30-128,Kraków
2186,58.23769503651077,49.790091999999994,22.764219,podkarpackie,37-700,Przemyśl
2187,31.603817500472218,51.938739,15.510005,lubuskie,65-056,Zielona Góra
2190,45.80027211896746,52.541469,19.696666,mazowieckie,09-402,Płock
2191,57.58663438495586,52.255736999999996,20.99337,mazowieckie,00-189,Warszawa
2192,45.46751300482381,50.037364,21.998357,podkarpackie,35-015,Rzeszów
2193,71.51931240883876,49.985060999999995,19.194831,małopolskie,32-625,gmina Brzeszcze
2194,39.28107098092028,54.151519,19.417033999999997,warmińsko-mazurskie,82-300,Elbląg
2195,61.15995404040401,49.968421,20.612319,małopolskie,32-800,gmina Brzesko
2196,89.44760950937939,51.523717,19.995964,łódzkie,97-200,Tomaszów Mazowiecki
2198,52.23252183244517,50.164684,18.546913,śląskie,44-207,Rybnik
2201,66.52017577465043,50.573242,19.307329,śląskie,42-300,Myszków
2202,90.06739700833973,50.096382,18.583907999999997,śląskie,44-203,Rybnik
2203,71.92078171134419,53.150161,16.735022999999998,wielkopolskie,64-920,Piła
2204,68.8870470955273,52.185821,21.180251,mazowieckie,04-859,Warszawa
2205,60.84852777649611,52.243507,21.083973999999998,mazowieckie,04-077,Warszawa
2206,86.7242663130449,50.074622999999995,18.465013,śląskie,44-273,Rybnik
2208,55.747018407247126,50.109204,18.961681,śląskie,43-100,Tychy
2209,53.49757908950618,52.533255999999994,19.704988,mazowieckie,09-402,Płock
2210,23.270566550334824,54.401069,18.589489999999998,pomorskie,80-369,Gdańsk
2211,75.75501423118978,50.048666999999995,18.605902999999998,śląskie,44-253,Rybnik
2212,73.62094823376613,49.962249,19.632751,małopolskie,34-114,gmina Brzeźnica
2213,62.11967718481436,50.226138999999996,19.144192999999998,śląskie,41-412,Mysłowice
2214,65.88465389770727,52.240119,21.10284,mazowieckie,04-161,Warszawa
2215,64.53273366778897,51.369257999999995,19.376319,łódzkie,97-400,Bełchatów
